歌手名,决赛排名,决赛是或否进入前三,是否进入决赛,参加季数,性别,几次进入前三（或者是比例）,拿过几次第一,是否团体,是否首发,出道时间,是否科班出身,排名平均值,排名中位数,排名众数,排名标准差,常规赛参加次数,最好排名,最差排名
林志炫,2,1,1,1,男,6,3,0,0,22,0,1.833333333,1.5,1,0.98319208,6,1,3
羽泉,1,1,1,1,男,6,2,1,1,15,1,2.8,2,2,1.619327707,10,1,6
杨宗纬,3,1,1,1,男,0,0,0,0,6,0,6,6,6,1.414213562,2,1,7
黄绮珊,4,0,1,1,女,6,3,0,1,27,0,3.1,3,1,1.91195072,10,1,6
齐秦,,,0,1,男,2,1,0,1,32,0,3.75,3.5,3.75,2.753785274,4,1,7
彭佳慧,5,0,1,1,女,1,0,0,0,17,0,3.5,3.5,3.5,0.707106781,2,3,5
尚雯婕,,,0,1,女,2,0,0,1,7,0,4.5,4.5,4.5,1.603567451,8,2,7
周晓鸥,,,0,1,男,3,1,0,0,19,0,4.166666667,4,7,2.562550813,6,1,7
黄贯中,,,0,1,男,1,0,0,1,27,0,5,5,5,2.828427125,2,3,7
沙宝亮,,,0,1,男,2,0,0,1,20,0,5,5,5,1.632993162,10,2,7
辛晓琪,6,0,1,1,女,1,0,0,0,27,1,5,5.5,6,1.414213562,4,3,7
陈明,,,0,1,女,0,0,0,1,20,0,5.666666667,5.5,6,1.211060142,6,4,7
邓紫棋,2,1,1,2,女,7,4,0,1,6,1,2.4,2,1,1.646545205,10,1,5
韩磊,1,1,1,2,男,6,3,0,1,23,1,2.9,2.5,1,1.791957341,10,1,6
茜拉,6,0,1,2,女,3,0,0,0,14,1,3,3,3,0.816496581,4,1,6
张杰,3,1,1,2,男,5,1,0,0,10,0,3.375,3,3,1.407885953,8,1,6
罗琦,,,0,2,女,3,1,0,1,16,0,3.5,3.5,3.5,1.870828693,6,1,6
曹格,4,0,1,2,男,0,0,0,1,13,0,5.5,5.5,5.5,2.121320344,2,3,7
周笔畅,5,0,1,2,女,4,0,0,1,9,1,4.4,5,5,1.837873167,10,2,7
韦唯,,,1,2,女,2,1,0,1,28,1,4.25,4.5,7,3.201562119,4,1,7
张宇,7,0,1,2,男,0,0,0,1,22,0,5.5,6,6,0.971825316,10,4,7
动力火车,,,0,2,男,0,0,1,0,17,0,6.5,6.5,6.5,0.707106781,2,4,7
满文军,,,0,2,男,0,0,0,0,18,0,6.5,6.5,6.5,0.707106781,2,5,7
品冠,,,0,2,男,0,0,0,0,20,0,7,7,7,0,2,7,7
韩红,1,1,1,3,女,7,2,0,1,20,1,3.181818182,2,2,1.990888335,11,1,6
郑淳元,3,1,1,3,男,4,2,0,0,13,1,2.6,2,1,2.073644135,6,1,6
谭维维,,0,1,3,男,2,2,0,0,13,1,3.666666667,4.5,3,2.160246899,7,1,6
李健,2,1,1,3,男,6,1,0,0,14,0,3.375,3,3,1.597989809,9,1,6
黄丽玲,,0,1,3,女,5,1,0,1,12,0,3.636363636,4,3,1.689540013,11,2,7
胡彦斌,,0,1,3,男,1,0,0,1,16,1,4.8,5,5,1.483239697,6,3,7
